Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level
Security Engineer,Kraków,14000,23000,"Security, Python, Enterprise Security, SIEM",Motorola Solutions Systems Polska,Mid
Senior Cloud Engineer,Gdańsk,26880,30240,"DevOps, Python, AWS, Terraform",Devire,Senior
Data Engineer (Investment Banking Tech),Kraków,10000,16000,"Data, Python, Functional programming languages, Python / R",HSBC Technology Poland,Mid
Senior Data Scientist Generative AI,Zdalnie,20000,30000,"AI/ML, Python, CV, NLP",SoftServe,Senior
Senior Data Scientist,Warszawa,29000,36833,"Data, Python, SQL, Data science",Asana,Senior
Senior Data Engineer,Wrocław,24700,27700,"Data, Python, Data pipelines, Machine learning",AVENGA,Senior
Software Engineer,Zdalnie,13000,18000,"Backend, Python, PHP, Sympfony",Enzode,Mid
Data Analyst Germany (Hybrid Berlin) MID and Senior,Berlin,26820,26820,"Data, Python, Degree, Data science",Link Group,Senior
2nd Line Support Engineer (Hybrid – Berlin),Berlin,13410,17880,"Support, Python, Cloud platform, Commvault",Link Group,Senior
Compute Engineer (Hybrid – Berlin),Berlin,17880,26820,"Fullstack, Python, Windows Server, VMware",Link Group,Senior
Integration Developer (TIBCO BA) - Remote,Zdalnie,16800,20160,"DevOps, Python, TIBCO, Automated testing",Link Group,Senior
Senior Full Stack Developer (NodeJS/React),Zdalnie,28701,30751,"Fullstack, Python, Node.js, React",Adaptiq,Senior
Junior Fullstack Developer,Warszawa,7500,15000,"Fullstack, Python, JavaScript, SQL",DIALO sp. z o.o.,Junior
Customer Support Engineer - (Relocation to London),Londyn,12816,25632,"Support, Python, Customer Support, Node.js",Kaedim,Mid
Software Engineer (Relocation to London),Londyn,14952,29904,"Fullstack, Python, React, Tailwind",Kaedim,Mid
DevOps Engineer (Relocation do London),Londyn,14952,27768,"DevOps, Python, Degree, Scripting language",Kaedim,Mid
Azure Cloud Automation Engineer,Warszawa,10000,15000,"DevOps, Python, Azure, Azure Cloud",Omada,Junior
Senior Data Engineer (Azure / Databricks),Zdalnie,26880,33600,"Data, Python, Microsoft azure, Databricks",GetInData | Part of Xebia,Senior
QA Automation Test Engineer (Szczecin or Wrocław),Szczecin,18480,25200,"Automatyka, Python, QA, Robot Framework",Spyrosoft,Senior
Marketing Analytics Specialist,Łódź,7740,12340,"Marketing, Python, Google Analytics, GTM",Full Stack Experts,Mid
Android Automotive Software Engineer,Zdalnie,33600,33600,"Backend, Python, Java, Yocto",Spyrosoft,Senior
Power BI Data Analyst,Zdalnie,19320,25200,"Data, Python, Azure, Power BI",Holisticon Connect,Mid
Data Engineer,Zdalnie,26880,31920,"Data, Python, Spark, Microsoft Azure",emagine Sp. Z o.o.,Senior
Software Engineer - Golang at Koyeb - relocation to Paris,Zdalnie,20501,25626,"Backend, Python, Golang, SSO",Koyeb,Mid
Automation Tester / QA,Kraków,16800,21840,"Testing, Python, Selenium, Selenide",Scalo,Senior
Cloud Security Manager IAM with Okta,Zdalnie,20160,22848,"Security, Python, Okta, AWS",ITFS Sp. z o.o.,Mid
Cloud Engineer,Krakow,25200,33600,"DevOps, Python, K8s, Cloud",Mindbox S.A.,Senior
Technical Support,Gdańsk,5330,6150,"Support, Python, Linux, SQL",Quod Financial,Trainee
Site Reliability Engineer + Kafka,Warszawa,25200,25200,"DevOps, Python, Kafka, SRE",Link Group,Senior
SENIOR CUSTOMER AND MARKETING ANALYST,Warsaw,12000,15000,"Business Analysis, Python, Cloud, AWS",Decathlon Sp. z o.o.,Mid
Site Reliability Engineer + Hadoop,Warszawa,25200,25200,"DevOps, Python, Hadoop, SRE",Link Group,Senior
Mid Fullstack Developer,Szczecin,15000,22000,"Fullstack, Python, JavaScript, Node.js",Consileon Polska,Mid
"Sr Backend Developer with Golang (US, eCatholic)",Zdalnie,19320,27720,"Backend, Python, Golang, Go",From Poland With Dev,Senior
Senior Backend Engineer - Ruby on Rails,Zdalnie,20000,28000,"Backend, Python, Ruby on Rails, Ruby",Knowde Inc.,Senior
Data Engineer,Zdalnie,30240,30240,"Data, Python, SQL, Data modelling",emagine Sp. Z o.o.,Mid
Senior MLOps Engineer,Zdalnie,26880,33600,"Data, Python, Cloud, Bash",GetInData | Part of Xebia,Senior
Software Engineer,Warszawa,12000,14000,"Fullstack, Python, React, .NET",MicroStrategy,Junior
Cloud Infrastructure DBA,Zdalnie,11000,22000,"DevOps, Python, AWS, PostgreSQL",Shiji Poland,Senior
Software Engineer II (Linux Application Developer),Warsaw,13750,22083,"Embedded, Python, Linux, C++",EditShare,Mid
Junior IT Support Specialist,Zdalnie,7000,10000,"Support, Python, SQL, REST API",PragmaGO.tech Sp. z o.o.,Junior
Senior Full-Stack/Back-end Developer C++,Kraków,18000,23000,"Fullstack, Python, C++, JavaScript",Motorola Solutions Systems Polska,Senior
ETL Tester with SQL,Warszawa,20160,20160,"Testing, Python, SQL, Ansible",emagine Sp. Z o.o.,Mid
Remote Senior Devops Engineer (GCP + Azure),Zdalnie,21000,31000,"DevOps, Python, AWS, GCP",TotalDevs sp. z o.o.,Senior
Senior Data Engineer,Warsaw,24000,29000,"Data, Python, Spark, Airflow",SambaTV,Senior
Data Engineer (Fulfillment),Kraków,20000,30000,"Data, Python, Scala, Hadoop",Tesco Technology,Mid
Senior Test Engineer with Squish,Zdalnie,16800,22680,"Testing, Python, Squish, Test automation",Spyrosoft,Senior
Administrator Systemów,Warszawa,25200,25200,"Sys. Administrator, Python, RHEL, Bash script",P&P Solutions Sp. z o.o.,Mid
DevOps Engineer,Gdańsk,18480,25200,"DevOps, Python, Java, VCS",emagine Sp. Z o.o.,Mid
Programista / Web-developer,Zdalnie,10643,21286,"Backend, Python, Django, Clean Code",ADAMANTA SP. Z O.O.,Mid
Senior Analytics Engineer (Azure),Zdalnie,21840,30240,"Data, Python, Azure, Power BI",GetInData | Part of Xebia,Senior
Data Engineer,Zdalnie,22000,26000,"Data, Python, Spark, Databricks",Sunscrapers,Mid
Lead Data Engineer,Zdalnie,25200,33600,"Data, Python, Ms azure, Enterprise Architect",Elitmind,Expert
Senior DevOps Engineer (AWS/Azure/GCP) (Germany),Zdalnie,22350,26820,"DevOps, Python, Azure, Cloud platform",Link Group,Senior
System Architect,Berlin,6300,7350,"Architecture, Python, AWS, Java",Link Group,Expert
"Mid Backend Developer with Golang (US, eCatholic)",Zdalnie,11760,21000,"Backend, Python, Golang, Go",From Poland With Dev,Mid
Business Analyst (+QA) 100% remote,Zdalnie,21840,26880,"Business Analysis, Python, Business Analyst, Testing",Devire,Senior
Data Engineering Tech Lead (GCP),Zdalnie,28560,36960,"Data, Python, GCP, Airflow",Lingaro,Expert
C# Developer,Zdalnie,15500,17500,"Backend, Python, C#, SQL",Connectis_,Mid
Senior Performance Engineer - DevOps,Kraków,28250,35800,"DevOps, Python, MySQL, PostgreSQL",Beekeeper AG,Senior
Specjalista ds. R&D,Zdalnie,12000,17000,"Architecture, Python, Analiza danych, AWS",Aplikacje Krytyczne Sp. z o.o.,Mid
"Cloud Engineer (Krakow or Wroclaw, Poland)",Kraków,23000,28000,"DevOps, Python, Cloud development, AWS",Unit8 SA,Senior
Full-Stack / Front-End Developer (Angular),Kraków,10000,18000,"Fullstack, Python, Angular, JavaScript",Motorola Solutions Systems Polska,Senior
Rmt. Mid/Senior QA - Test Automation engineer,Zdalnie,16000,22000,"Testing, Python, Selenium, JavaScript",Meant4 Software,Senior
Remote Senior DevOps Engineer,Zdalnie,20000,27000,"DevOps, Python, Terraform, Ansible",Jirav,Expert
Junior Administrator Systemów Linux remote,Zdalnie,5000,5500,"Design, Python, Linux, PHP",Next Mobile P.S.A.,Junior
Senior Java developer,Kraków,23000,29000,"Backend, Python, Java, SaaS",Maxio,Senior
Senior/Lead Power BI Engineer,Zdalnie,24601,29111,"Business Intelligence, Python, Power BI, DAX",N-iX,Senior
Junior Delivery Engineer,Zdalnie,6000,10000,"Data, Python, SQL, Database",MasterBorn,Junior
Junior Cyber Defense Specialist,Kraków,7000,11000,"Security, Python, Information Security, SoC",Motorola Solutions Systems Polska,Junior
Java Software Engineer - Remote   NOWA,Zdalnie,12750,23000,"Testing, Python, Java, Spring Boot",CodiLime,Mid
