Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
Senior C Software Engineer,Kraków,15 000,21 000,"Embedded, Python, C, C++",Motorola Solutions Systems Polska,Senior,https://nofluffjobs.com/pl/job/senior-c-software-engineer-motorola-solutions-systems-polska-krakow-1
Senior BI Tableau Specialist,Zdalnie,23 520,27 720,"Business Intelligence, Python, Tableau, Talend",AVENGA,Senior,https://nofluffjobs.com/pl/job/senior-bi-tableau-specialist-avenga-remote
Senior Rust Full-Stack developer for decentralized social platform,Zdalnie,Not specified,Not specified,"Fullstack, Python, Rust, JavaScript",DevBrother,Expert,https://nofluffjobs.com/pl/job/senior-rust-full-stack-developer-for-decentralized-social-platform-devbrother-remote
TIBCO Integration Developer,Zdalnie,27 720,31 080,"Inne, Python, TIBCO, Java",1dea,Senior,https://nofluffjobs.com/pl/job/tibco-integration-developer-1dea-remote
Senior DevOps and Cloud Infrastructure Engineer,Zdalnie,18 509,24 679,"DevOps, Python, AWS, K8s",IDBC Creative Solutions Kft.,Expert,https://nofluffjobs.com/pl/job/senior-devops-and-cloud-infrastructure-engineer-idbc-creative-solutions-kft--remote
Programista PHP,Gdynia,7 000,13 000,"Fullstack, Python, PHP, SQL",ENAMOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Mid,https://nofluffjobs.com/pl/job/programista-php-enamor-spolka-z-ograniczona-odpowiedzialnoscia-gdynia
Ekspert IT w zakresie rozwiązań sieciowych,Gliwice,15 000,21 000,"Sys. Administrator, Python, BGP, OSPF",WASKO S.A.,Senior,https://nofluffjobs.com/pl/job/ekspert-it-w-zakresie-rozwiazan-sieciowych-wasko-gliwice
Senior Business Intelligence Analyst,Warszawa,Not specified,Not specified,"Business Intelligence, Python, Tableau, SQL",T-Mobile Polska,Senior,https://nofluffjobs.com/pl/job/senior-business-intelligence-analyst-t-mobile-polska-warszawa
"Senior DevOps Engineer, Kubernetes (Kraków)",Kraków,Not specified,Not specified,"DevOps, Python, K8s, Terraform",LotusFlare,Senior,https://nofluffjobs.com/pl/job/senior-devops-engineer-kubernetes-krakow-lotusflare-krakow
Senior Fullstack Developer,Warszawa,22 000,27 000,"Fullstack, Python, Java, AWS",PYSENSE Sp. z o. o.,Senior,https://nofluffjobs.com/pl/job/senior-fullstack-developer-pysense-warszawa-1
